event_id,flow_id,sensor_id,cluster_id,grid_id,batch_id,src,dst,src_role,dst_role,link_type,start_time_sec,end_time_sec,payload_bytes,distance_m,rate_bps,deadline_sec,success_by_deadline
1,S488,488,27,27_5,1,S_488,UAV_0,SENSOR,SLAVE,access,123.6672552816795,123.992250109007,362,78.02985066791483,1113863.8820094252,1560.0,True
2,S488,488,27,27_5,1,UAV_0,UAV_1,SLAVE,MASTER,relay,123.992250109007,124.03783022298246,362,125.01969501280179,7942060.0,1560.0,True
3,S488,488,27,27_5,1,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.002375328084,362,,152400000.0,1560.0,True
4,S0,0,27,27_5,1,S_0,UAV_0,SENSOR,SLAVE,access,124.03783022298248,125.27411657720305,1550,64.06311938263487,1253754.8398139733,2100.0,True
5,S0,0,27,27_5,1,UAV_0,UAV_1,SLAVE,MASTER,relay,125.27411657720305,125.46928004864496,1550,125.01969501280179,7942060.0,2100.0,True
6,S0,0,27,27_5,1,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.01017060367457,1550,,152400000.0,2100.0,True
7,S232,232,27,27_5,1,S_232,UAV_0,SENSOR,SLAVE,access,125.46928004864496,126.80394720748005,1500,76.93175646725503,1123875.709438456,2100.0,True
8,S232,232,27,27_5,1,UAV_0,UAV_1,SLAVE,MASTER,relay,126.80394720748005,126.992815083069,1500,125.01969501280179,7942060.0,2100.0,True
9,S232,232,27,27_5,1,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.00984251968504,1500,,152400000.0,2100.0,True
10,S41,41,27,27_3,1,S_41,UAV_1,SENSOR,MASTER,access,131.55038380984683,132.47860059191567,1250,56.239492871685535,1346668.175093718,1740.0,True
11,S41,41,27,27_3,1,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.00820209973756,1250,,152400000.0,1740.0,True
12,S180,180,27,27_3,1,S_180,UAV_1,SENSOR,MASTER,access,132.47860059191567,133.414931097033,1310,52.26531957500442,1399078.6296510124,1560.0,True
13,S180,180,27,27_3,1,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.0085958005249,1310,,152400000.0,1560.0,True
14,S478,478,27,27_3,1,S_478,UAV_1,SENSOR,MASTER,access,133.414931097033,134.53811607829525,1505,56.771623163504565,1339939.5692672504,2160.0,True
15,S478,478,27,27_3,1,UAV_1,SAT_0,MASTER,SATELLITE,satellite,349.0,349.009875328084,1505,,152400000.0,2160.0,True
16,S442,442,27,27_3,1,S_442,UAV_1,SENSOR,MASTER,access,134.53811607829525,135.7420228176706,1675,52.83625383946347,1391303.7822755787,1860.0,True
