Adaptive Rate Log (interval=1s)
Time,Dist(km),Elev,BF(dB),SNR,Rate(Mbps),Status
125.00s,   1442.07,   52.85°,  10.54,   23.21 dB,    1929.28,  [OK   >=40.00°]
126.00s,   1441.97,   52.86°,  10.54,   23.21 dB,    1929.37,  [OK   >=40.00°]
127.00s,   1441.91,   52.86°,  10.54,   23.21 dB,    1929.41,  [OK   >=40.00°]
128.00s,   1441.90,   52.86°,  10.54,   23.21 dB,    1929.42,  [OK   >=40.00°]
129.00s,   1441.94,   52.86°,  10.54,   23.21 dB,    1929.39,  [OK   >=40.00°]
130.00s,   1442.02,   52.86°,  10.54,   23.21 dB,    1929.33,  [OK   >=40.00°]
131.00s,   1442.15,   52.85°,  10.54,   23.21 dB,    1929.22,  [OK   >=40.00°]
132.00s,   1442.32,   52.84°,  10.54,   23.21 dB,    1929.08,  [OK   >=40.00°]
133.00s,   1442.55,   52.82°,  10.54,   23.21 dB,    1928.89,  [OK   >=40.00°]
134.00s,   1442.82,   52.80°,  10.54,   23.20 dB,    1928.67,  [OK   >=40.00°]
135.00s,   1443.13,   52.78°,  10.53,   23.20 dB,    1928.41,  [OK   >=40.00°]
136.00s,   1443.50,   52.76°,  10.53,   23.20 dB,    1928.12,  [OK   >=40.00°]
137.00s,   1443.91,   52.73°,  10.53,   23.19 dB,    1927.78,  [OK   >=40.00°]
138.00s,   1444.36,   52.70°,  10.53,   23.19 dB,    1927.41,  [OK   >=40.00°]
139.00s,   1444.87,   52.66°,  10.53,   23.18 dB,    1927.00,  [OK   >=40.00°]
140.00s,   1445.42,   52.63°,  10.52,   23.18 dB,    1926.55,  [OK   >=40.00°]
141.00s,   1446.01,   52.59°,  10.52,   23.17 dB,    1926.06,  [OK   >=40.00°]
142.00s,   1446.66,   52.55°,  10.52,   23.16 dB,    1925.54,  [OK   >=40.00°]
143.00s,   1447.35,   52.50°,  10.52,   23.16 dB,    1924.98,  [OK   >=40.00°]
144.00s,   1448.08,   52.45°,  10.51,   23.15 dB,    1924.38,  [OK   >=40.00°]
145.00s,   1448.86,   52.40°,  10.51,   23.14 dB,    1923.74,  [OK   >=40.00°]
146.00s,   1449.69,   52.34°,  10.51,   23.13 dB,    1923.07,  [OK   >=40.00°]
147.00s,   1450.57,   52.29°,  10.51,   23.13 dB,    1922.36,  [OK   >=40.00°]
148.00s,   1451.49,   52.23°,  10.50,   23.12 dB,    1921.61,  [OK   >=40.00°]
149.00s,   1452.45,   52.16°,  10.50,   23.11 dB,    1920.82,  [OK   >=40.00°]
150.00s,   1453.46,   52.10°,  10.49,   23.10 dB,    1920.00,  [OK   >=40.00°]
151.00s,   1454.52,   52.03°,  10.49,   23.09 dB,    1919.14,  [OK   >=40.00°]
152.00s,   1455.63,   51.96°,  10.49,   23.08 dB,    1918.25,  [OK   >=40.00°]
153.00s,   1456.77,   51.88°,  10.48,   23.07 dB,    1917.31,  [OK   >=40.00°]
154.00s,   1457.97,   51.80°,  10.48,   23.05 dB,    1916.35,  [OK   >=40.00°]
155.00s,   1459.21,   51.73°,  10.47,   23.04 dB,    1915.34,  [OK   >=40.00°]
156.00s,   1460.49,   51.64°,  10.47,   23.03 dB,    1914.30,  [OK   >=40.00°]
157.00s,   1461.82,   51.56°,  10.46,   23.02 dB,    1913.23,  [OK   >=40.00°]
158.00s,   1463.20,   51.47°,  10.46,   23.00 dB,    1912.11,  [OK   >=40.00°]
159.00s,   1464.62,   51.38°,  10.45,   22.99 dB,    1910.97,  [OK   >=40.00°]
160.00s,   1466.08,   51.29°,  10.45,   22.97 dB,    1909.79,  [OK   >=40.00°]
161.00s,   1467.59,   51.19°,  10.44,   22.96 dB,    1908.57,  [OK   >=40.00°]
162.00s,   1469.15,   51.09°,  10.43,   22.94 dB,    1907.32,  [OK   >=40.00°]
163.00s,   1470.74,   50.99°,  10.43,   22.93 dB,    1906.03,  [OK   >=40.00°]
164.00s,   1472.39,   50.89°,  10.42,   22.91 dB,    1904.71,  [OK   >=40.00°]
165.00s,   1474.07,   50.79°,  10.41,   22.90 dB,    1903.36,  [OK   >=40.00°]
166.00s,   1475.80,   50.68°,  10.41,   22.88 dB,    1901.97,  [OK   >=40.00°]
167.00s,   1477.58,   50.57°,  10.40,   22.86 dB,    1900.55,  [OK   >=40.00°]
168.00s,   1479.39,   50.46°,  10.39,   22.84 dB,    1899.09,  [OK   >=40.00°]
169.00s,   1481.25,   50.35°,  10.39,   22.83 dB,    1897.60,  [OK   >=40.00°]
170.00s,   1483.16,   50.23°,  10.38,   22.81 dB,    1896.08,  [OK   >=40.00°]
