timeSec,event,taskId,type,src,dstMaster,bytesArrived,masterBufferBytes,masterArrivedBytes,totalMasterArrivedBytes
319.97,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,1024,1024,1024
319.972,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,2048,2048,2048
319.973,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,3072,3072,3072
319.976,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,4096,4096,4096
319.981,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,5120,5120,5120
319.986,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,6144,6144,6144
319.991,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,7168,7168,7168
319.996,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,8192,8192,8192
320.001,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,9216,9216,9216
320.006,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,10240,10240,10240
320.011,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,11264,11264,11264
320.016,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,12288,12288,12288
320.021,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,13312,13312,13312
320.026,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,14336,14336,14336
320.031,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,15360,15360,15360
320.036,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,16384,16384,16384
320.041,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,17408,17408,17408
320.046,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,18432,18432,18432
320.051,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,19456,19456,19456
320.056,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,20480,20480,20480
320.061,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,21504,21504,21504
320.066,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,22528,22528,22528
320.071,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,23552,23552,23552
320.076,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,24576,24576,24576
320.081,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,25600,25600,25600
320.086,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,26624,26624,26624
320.091,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,27648,27648,27648
320.096,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,28672,28672,28672
320.101,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,29696,29696,29696
320.106,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,30720,30720,30720
320.111,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,31744,31744,31744
