window_id,start_time_sec,end_time_sec,avg_eff_throughput_mbps
1,0.0,85.0,784.3
2,349.0,530.0,152.4
3,530.0,611.0,671.3
4,792.0,971.0,669.3
5,971.0,1075.0,716.3
6,1239.0,1408.0,670.4
7,1408.0,1530.0,727.4
8,1689.0,1840.0,668.2
9,1840.0,1979.0,735.3
10,2146.0,2266.0,668.4
11,2266.0,2425.0,721.3
12,2616.0,2677.0,666.9
13,2686.0,2866.0,668.6
14,3133.0,3305.0,670.7
15,3305.0,3317.0,694.7
16,3584.0,3738.0,669.8
17,3738.0,3769.0,723.8
18,4038.0,4217.0,152.6
19,4244.0,4271.0,666.5
20,4479.0,4660.0,670.7
21,4660.0,4753.0,700.2
22,4923.0,5099.0,668.8
23,5099.0,5211.0,721.6
24,5372.0,5533.0,670.2
25,5533.0,5663.0,732.6
26,5825.0,5963.0,669.6
27,5963.0,6111.0,728.9
28,6286.0,6384.0,668.5
29,6384.0,6554.0,706.3
30,6817.0,6995.0,668.8
