Adaptive Rate Log (interval=1s)
Time,Dist(km),Elev,BF(dB),SNR,Rate(Mbps),Status
 79.86s,   1392.66,   56.43°,  10.73,   23.71 dB,    1970.25,  [OK   >=40.00°]
 80.86s,   1396.70,   56.12°,  10.71,   23.66 dB,    1966.86,  [OK   >=40.00°]
 81.86s,   1400.77,   55.81°,  10.70,   23.62 dB,    1963.45,  [OK   >=40.00°]
 82.86s,   1404.88,   55.50°,  10.68,   23.58 dB,    1960.02,  [OK   >=40.00°]
 83.86s,   1409.02,   55.19°,  10.67,   23.54 dB,    1956.56,  [OK   >=40.00°]
 84.86s,   1413.20,   54.88°,  10.65,   23.50 dB,    1953.08,  [OK   >=40.00°]
 85.86s,   1417.41,   54.57°,  10.63,   23.46 dB,    1949.59,  [OK   >=40.00°]
 86.86s,   1421.66,   54.27°,  10.62,   23.41 dB,    1946.07,  [OK   >=40.00°]
 87.86s,   1425.94,   53.96°,  10.60,   23.37 dB,    1942.53,  [OK   >=40.00°]
 88.86s,   1430.25,   53.66°,  10.58,   23.33 dB,    1938.97,  [OK   >=40.00°]
 89.86s,   1434.60,   53.36°,  10.57,   23.28 dB,    1935.40,  [OK   >=40.00°]
 90.86s,   1438.99,   53.06°,  10.55,   23.24 dB,    1931.80,  [OK   >=40.00°]
 91.86s,   1443.41,   52.76°,  10.53,   23.20 dB,    1928.19,  [OK   >=40.00°]
 92.86s,   1447.85,   52.47°,  10.52,   23.15 dB,    1924.56,  [OK   >=40.00°]
 93.86s,   1452.34,   52.17°,  10.50,   23.11 dB,    1920.92,  [OK   >=40.00°]
 94.86s,   1456.85,   51.88°,  10.48,   23.06 dB,    1917.25,  [OK   >=40.00°]
 95.86s,   1461.40,   51.58°,  10.46,   23.02 dB,    1913.57,  [OK   >=40.00°]
 96.86s,   1465.98,   51.29°,  10.45,   22.98 dB,    1909.87,  [OK   >=40.00°]
 97.86s,   1470.59,   51.00°,  10.43,   22.93 dB,    1906.16,  [OK   >=40.00°]
 98.86s,   1475.23,   50.72°,  10.41,   22.89 dB,    1902.43,  [OK   >=40.00°]
 99.86s,   1479.90,   50.43°,  10.39,   22.84 dB,    1898.69,  [OK   >=40.00°]
100.86s,   1484.60,   50.15°,  10.37,   22.79 dB,    1894.93,  [OK   >=40.00°]
101.86s,   1489.33,   49.86°,  10.36,   22.75 dB,    1891.16,  [OK   >=40.00°]
102.86s,   1494.09,   49.58°,  10.34,   22.70 dB,    1887.37,  [OK   >=40.00°]
103.86s,   1498.88,   49.30°,  10.32,   22.66 dB,    1883.57,  [OK   >=40.00°]
104.86s,   1503.70,   49.02°,  10.30,   22.61 dB,    1879.75,  [OK   >=40.00°]
105.86s,   1508.55,   48.74°,  10.28,   22.56 dB,    1875.93,  [OK   >=40.00°]
106.86s,   1513.43,   48.47°,  10.27,   22.52 dB,    1872.09,  [OK   >=40.00°]
107.86s,   1518.34,   48.19°,  10.25,   22.47 dB,    1868.24,  [OK   >=40.00°]
108.86s,   1523.27,   47.92°,  10.23,   22.42 dB,    1864.37,  [OK   >=40.00°]
109.86s,   1528.23,   47.65°,  10.21,   22.38 dB,    1860.49,  [OK   >=40.00°]
110.86s,   1533.22,   47.38°,  10.19,   22.33 dB,    1856.61,  [OK   >=40.00°]
111.86s,   1538.24,   47.11°,  10.17,   22.28 dB,    1852.71,  [OK   >=40.00°]
112.86s,   1543.29,   46.84°,  10.15,   22.24 dB,    1848.80,  [OK   >=40.00°]
113.86s,   1548.36,   46.57°,  10.13,   22.19 dB,    1844.88,  [OK   >=40.00°]
114.86s,   1553.45,   46.31°,  10.11,   22.14 dB,    1840.95,  [OK   >=40.00°]
115.86s,   1558.58,   46.05°,  10.10,   22.09 dB,    1837.01,  [OK   >=40.00°]
116.86s,   1563.73,   45.78°,  10.08,   22.05 dB,    1833.06,  [OK   >=40.00°]
117.86s,   1568.90,   45.52°,  10.06,   22.00 dB,    1829.10,  [OK   >=40.00°]
118.86s,   1574.11,   45.27°,  10.04,   21.95 dB,    1825.13,  [OK   >=40.00°]
119.86s,   1579.33,   45.01°,  10.02,   21.90 dB,    1821.15,  [OK   >=40.00°]
120.86s,   1584.58,   44.75°,  10.00,   21.85 dB,    1817.16,  [OK   >=40.00°]
121.86s,   1589.86,   44.50°,   9.98,   21.80 dB,    1813.16,  [OK   >=40.00°]
122.86s,   1595.16,   44.24°,   9.96,   21.76 dB,    1809.16,  [OK   >=40.00°]
123.86s,   1600.48,   43.99°,   9.94,   21.71 dB,    1805.15,  [OK   >=40.00°]
124.86s,   1605.83,   43.74°,   9.92,   21.66 dB,    1801.13,  [OK   >=40.00°]
125.86s,   1611.20,   43.49°,   9.90,   21.61 dB,    1797.10,  [OK   >=40.00°]
126.86s,   1616.60,   43.24°,   9.88,   21.56 dB,    1793.07,  [OK   >=40.00°]
127.86s,   1622.02,   43.00°,   9.86,   21.51 dB,    1789.03,  [OK   >=40.00°]
128.86s,   1627.46,   42.75°,   9.84,   21.46 dB,    1784.98,  [OK   >=40.00°]
129.86s,   1632.92,   42.51°,   9.82,   21.41 dB,    1780.93,  [OK   >=40.00°]
130.86s,   1638.41,   42.27°,   9.80,   21.36 dB,    1776.86,  [OK   >=40.00°]
131.86s,   1643.92,   42.03°,   9.78,   21.31 dB,    1772.80,  [OK   >=40.00°]
132.86s,   1649.45,   41.79°,   9.76,   21.27 dB,    1768.73,  [OK   >=40.00°]
133.86s,   1655.00,   41.55°,   9.74,   21.22 dB,    1764.65,  [OK   >=40.00°]
134.86s,   1660.58,   41.31°,   9.72,   21.17 dB,    1760.56,  [OK   >=40.00°]
135.86s,   1666.17,   41.08°,   9.70,   21.12 dB,    1756.47,  [OK   >=40.00°]
136.86s,   1671.79,   40.84°,   9.68,   21.07 dB,    1752.38,  [OK   >=40.00°]
137.86s,   1677.43,   40.61°,   9.66,   21.02 dB,    1748.28,  [OK   >=40.00°]
138.86s,   1683.09,   40.38°,   9.64,   20.97 dB,    1744.17,  [OK   >=40.00°]
139.86s,   1688.76,   40.15°,   9.62,   20.92 dB,    1740.06,  [OK   >=40.00°]
140.86s,   1694.46,   39.92°,   9.60,   20.87 dB,       0.00,  [DOWN <40.00°]
140.86s,   1446.01,   52.59°,  10.52,   23.17 dB,    1926.06,  [OK   >=40.00°]
141.86s,   1446.66,   52.55°,  10.52,   23.16 dB,    1925.54,  [OK   >=40.00°]
142.86s,   1447.35,   52.50°,  10.52,   23.16 dB,    1924.98,  [OK   >=40.00°]
143.86s,   1448.08,   52.45°,  10.51,   23.15 dB,    1924.38,  [OK   >=40.00°]
144.86s,   1448.86,   52.40°,  10.51,   23.14 dB,    1923.74,  [OK   >=40.00°]
145.86s,   1449.69,   52.34°,  10.51,   23.13 dB,    1923.07,  [OK   >=40.00°]
146.86s,   1450.57,   52.29°,  10.51,   23.13 dB,    1922.36,  [OK   >=40.00°]
147.86s,   1451.49,   52.23°,  10.50,   23.12 dB,    1921.61,  [OK   >=40.00°]
148.86s,   1452.45,   52.16°,  10.50,   23.11 dB,    1920.82,  [OK   >=40.00°]
149.86s,   1453.46,   52.10°,  10.49,   23.10 dB,    1920.00,  [OK   >=40.00°]
150.86s,   1454.52,   52.03°,  10.49,   23.09 dB,    1919.14,  [OK   >=40.00°]
151.86s,   1455.63,   51.96°,  10.49,   23.08 dB,    1918.25,  [OK   >=40.00°]
152.86s,   1456.77,   51.88°,  10.48,   23.07 dB,    1917.31,  [OK   >=40.00°]
153.86s,   1457.97,   51.80°,  10.48,   23.05 dB,    1916.35,  [OK   >=40.00°]
154.86s,   1459.21,   51.73°,  10.47,   23.04 dB,    1915.34,  [OK   >=40.00°]
155.86s,   1460.49,   51.64°,  10.47,   23.03 dB,    1914.30,  [OK   >=40.00°]
156.86s,   1461.82,   51.56°,  10.46,   23.02 dB,    1913.23,  [OK   >=40.00°]
157.86s,   1463.20,   51.47°,  10.46,   23.00 dB,    1912.11,  [OK   >=40.00°]
158.86s,   1464.62,   51.38°,  10.45,   22.99 dB,    1910.97,  [OK   >=40.00°]
159.86s,   1466.08,   51.29°,  10.45,   22.97 dB,    1909.79,  [OK   >=40.00°]
160.86s,   1467.59,   51.19°,  10.44,   22.96 dB,    1908.57,  [OK   >=40.00°]
161.86s,   1469.15,   51.09°,  10.43,   22.94 dB,    1907.32,  [OK   >=40.00°]
162.86s,   1470.74,   50.99°,  10.43,   22.93 dB,    1906.03,  [OK   >=40.00°]
163.86s,   1472.39,   50.89°,  10.42,   22.91 dB,    1904.71,  [OK   >=40.00°]
164.86s,   1474.07,   50.79°,  10.41,   22.90 dB,    1903.36,  [OK   >=40.00°]
165.86s,   1475.80,   50.68°,  10.41,   22.88 dB,    1901.97,  [OK   >=40.00°]
166.86s,   1477.58,   50.57°,  10.40,   22.86 dB,    1900.55,  [OK   >=40.00°]
167.86s,   1479.39,   50.46°,  10.39,   22.84 dB,    1899.09,  [OK   >=40.00°]
168.86s,   1481.25,   50.35°,  10.39,   22.83 dB,    1897.60,  [OK   >=40.00°]
169.86s,   1483.16,   50.23°,  10.38,   22.81 dB,    1896.08,  [OK   >=40.00°]
170.86s,   1485.10,   50.11°,  10.37,   22.79 dB,    1894.53,  [OK   >=40.00°]
171.86s,   1487.09,   50.00°,  10.37,   22.77 dB,    1892.94,  [OK   >=40.00°]
