timeSec,event,taskId,type,src,dstMaster,bytesArrived,masterBufferBytes,masterArrivedBytes,totalMasterArrivedBytes
78.8622,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_1,1024,1024,1024,1024
78.8627,SLAVE_TO_MASTER_RX,2,SLAVE_TO_MASTER,UAV_0,UAV_1,135,1159,1159,1159
86.3688,SLAVE_TO_MASTER_RX,4,SLAVE_TO_MASTER,UAV_2,UAV_1,312,1471,1471,1471
98.2315,SLAVE_TO_MASTER_RX,6,SLAVE_TO_MASTER,UAV_0,UAV_2,851,851,851,2322
100.46,SENSOR_TO_MASTER_RX,7,SENSOR_TO_UAV,Sensor_38,UAV_2,1024,1875,1875,3346
100.462,SENSOR_TO_MASTER_RX,7,SENSOR_TO_UAV,Sensor_38,UAV_2,38,1913,1913,3384
107.628,SENSOR_TO_MASTER_RX,8,SENSOR_TO_UAV,Sensor_8,UAV_1,607,2078,2078,3991
108.506,SENSOR_TO_MASTER_RX,9,SENSOR_TO_UAV,Sensor_11,UAV_1,926,3004,3004,4917
119.202,SLAVE_TO_MASTER_RX,11,SLAVE_TO_MASTER,UAV_3,UAV_1,725,3729,3729,5642
120.015,SLAVE_TO_MASTER_RX,13,SLAVE_TO_MASTER,UAV_3,UAV_1,721,4450,4450,6363
121.234,SLAVE_TO_MASTER_RX,15,SLAVE_TO_MASTER,UAV_3,UAV_1,943,5393,5393,7306
141.501,SLAVE_TO_MASTER_RX,17,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,2937,2937,8330
141.502,SLAVE_TO_MASTER_RX,17,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,3961,3961,9354
141.507,SLAVE_TO_MASTER_RX,17,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,4985,4985,10378
141.512,SLAVE_TO_MASTER_RX,17,SLAVE_TO_MASTER,UAV_1,UAV_2,316,5301,5301,10694
145.016,SLAVE_TO_MASTER_RX,19,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,6325,6325,11718
145.021,SLAVE_TO_MASTER_RX,19,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,7349,7349,12742
145.026,SLAVE_TO_MASTER_RX,19,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,8373,8373,13766
145.031,SLAVE_TO_MASTER_RX,19,SLAVE_TO_MASTER,UAV_1,UAV_2,784,9157,9157,14550
149.211,SLAVE_TO_MASTER_RX,21,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,10181,10181,15574
149.216,SLAVE_TO_MASTER_RX,21,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,11205,11205,16598
149.221,SLAVE_TO_MASTER_RX,21,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,12229,12229,17622
149.226,SLAVE_TO_MASTER_RX,21,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,13253,13253,18646
149.23,SLAVE_TO_MASTER_RX,21,SLAVE_TO_MASTER,UAV_1,UAV_2,302,13555,13555,18948
153.428,SLAVE_TO_MASTER_RX,23,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,14579,14579,19972
153.43,SLAVE_TO_MASTER_RX,23,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,15603,15603,20996
153.432,SLAVE_TO_MASTER_RX,23,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,16627,16627,22020
153.434,SLAVE_TO_MASTER_RX,23,SLAVE_TO_MASTER,UAV_3,UAV_2,194,16821,16821,22214
157.132,SLAVE_TO_MASTER_RX,25,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,17845,17845,23238
157.137,SLAVE_TO_MASTER_RX,25,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,18869,18869,24262
157.142,SLAVE_TO_MASTER_RX,25,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,19893,19893,25286
157.147,SLAVE_TO_MASTER_RX,25,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,20917,20917,26310
157.151,SLAVE_TO_MASTER_RX,25,SLAVE_TO_MASTER,UAV_3,UAV_2,5,20922,20922,26315
161.837,SLAVE_TO_MASTER_RX,27,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,21946,21946,27339
161.842,SLAVE_TO_MASTER_RX,27,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,22970,22970,28363
161.847,SLAVE_TO_MASTER_RX,27,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,23994,23994,29387
161.852,SLAVE_TO_MASTER_RX,27,SLAVE_TO_MASTER,UAV_3,UAV_2,1024,25018,25018,30411
161.856,SLAVE_TO_MASTER_RX,27,SLAVE_TO_MASTER,UAV_3,UAV_2,93,25111,25111,30504
224.48,SENSOR_TO_MASTER_RX,28,SENSOR_TO_UAV,Sensor_25,UAV_1,1024,6417,6417,31528
224.482,SENSOR_TO_MASTER_RX,28,SENSOR_TO_UAV,Sensor_25,UAV_1,1024,7441,7441,32552
224.485,SENSOR_TO_MASTER_RX,28,SENSOR_TO_UAV,Sensor_25,UAV_1,1024,8465,8465,33576
224.49,SENSOR_TO_MASTER_RX,28,SENSOR_TO_UAV,Sensor_25,UAV_1,748,9213,9213,34324
227.115,SLAVE_TO_MASTER_RX,30,SLAVE_TO_MASTER,UAV_0,UAV_1,588,9801,9801,34912
228.412,SENSOR_TO_MASTER_RX,32,SENSOR_TO_UAV,Sensor_34,UAV_1,1024,10825,10825,35936
228.414,SENSOR_TO_MASTER_RX,32,SENSOR_TO_UAV,Sensor_34,UAV_1,1024,11849,11849,36960
228.416,SENSOR_TO_MASTER_RX,32,SENSOR_TO_UAV,Sensor_34,UAV_1,1024,12873,12873,37984
228.42,SENSOR_TO_MASTER_RX,32,SENSOR_TO_UAV,Sensor_34,UAV_1,1024,13897,13897,39008
228.424,SENSOR_TO_MASTER_RX,32,SENSOR_TO_UAV,Sensor_34,UAV_1,401,14298,14298,39409
229.291,SLAVE_TO_MASTER_RX,34,SLAVE_TO_MASTER,UAV_3,UAV_1,647,14945,14945,40056
230.878,SLAVE_TO_MASTER_RX,35,SLAVE_TO_MASTER,UAV_0,UAV_1,1024,15969,15969,41080
230.883,SLAVE_TO_MASTER_RX,35,SLAVE_TO_MASTER,UAV_0,UAV_1,1024,16993,16993,42104
230.888,SLAVE_TO_MASTER_RX,35,SLAVE_TO_MASTER,UAV_0,UAV_1,1024,18017,18017,43128
230.893,SLAVE_TO_MASTER_RX,35,SLAVE_TO_MASTER,UAV_0,UAV_1,1024,19041,19041,44152
230.898,SLAVE_TO_MASTER_RX,35,SLAVE_TO_MASTER,UAV_0,UAV_1,660,19701,19701,44812
235.336,SLAVE_TO_MASTER_RX,37,SLAVE_TO_MASTER,UAV_0,UAV_1,1024,20725,20725,45836
235.341,SLAVE_TO_MASTER_RX,37,SLAVE_TO_MASTER,UAV_0,UAV_1,1024,21749,21749,46860
235.346,SLAVE_TO_MASTER_RX,37,SLAVE_TO_MASTER,UAV_0,UAV_1,1024,22773,22773,47884
235.351,SLAVE_TO_MASTER_RX,37,SLAVE_TO_MASTER,UAV_0,UAV_1,1024,23797,23797,48908
235.355,SLAVE_TO_MASTER_RX,37,SLAVE_TO_MASTER,UAV_0,UAV_1,119,23916,23916,49027
240.092,SLAVE_TO_MASTER_RX,40,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,26135,26135,50051
240.097,SLAVE_TO_MASTER_RX,40,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,27159,27159,51075
240.102,SLAVE_TO_MASTER_RX,40,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,28183,28183,52099
240.107,SLAVE_TO_MASTER_RX,40,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,29207,29207,53123
240.111,SLAVE_TO_MASTER_RX,40,SLAVE_TO_MASTER,UAV_1,UAV_2,649,29856,29856,53772
240.135,SLAVE_TO_MASTER_RX,41,SLAVE_TO_MASTER,UAV_2,UAV_1,746,24662,24662,54518
249.546,SENSOR_TO_MASTER_RX,42,SENSOR_TO_UAV,Sensor_32,UAV_3,838,838,838,55356
250.959,SENSOR_TO_MASTER_RX,43,SENSOR_TO_UAV,Sensor_52,UAV_2,923,30779,30779,56279
324.893,SLAVE_TO_MASTER_RX,45,SLAVE_TO_MASTER,UAV_1,UAV_2,734,31513,31513,57013
325.8,SLAVE_TO_MASTER_RX,47,SLAVE_TO_MASTER,UAV_1,UAV_2,833,32346,32346,57846
332.812,SLAVE_TO_MASTER_RX,49,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,33370,33370,58870
332.817,SLAVE_TO_MASTER_RX,49,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,34394,34394,59894
332.822,SLAVE_TO_MASTER_RX,49,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,35418,35418,60918
332.826,SLAVE_TO_MASTER_RX,49,SLAVE_TO_MASTER,UAV_1,UAV_2,49,35467,35467,60967
336.948,SENSOR_TO_MASTER_RX,51,SENSOR_TO_UAV,Sensor_42,UAV_2,1024,36491,36491,61991
336.952,SENSOR_TO_MASTER_RX,51,SENSOR_TO_UAV,Sensor_42,UAV_2,1024,37515,37515,63015
336.957,SENSOR_TO_MASTER_RX,51,SENSOR_TO_UAV,Sensor_42,UAV_2,1024,38539,38539,64039
336.962,SENSOR_TO_MASTER_RX,51,SENSOR_TO_UAV,Sensor_42,UAV_2,1020,39559,39559,65059
337.125,SLAVE_TO_MASTER_RX,52,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,40583,40583,66083
337.13,SLAVE_TO_MASTER_RX,52,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,41607,41607,67107
337.135,SLAVE_TO_MASTER_RX,52,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,42631,42631,68131
337.14,SLAVE_TO_MASTER_RX,52,SLAVE_TO_MASTER,UAV_1,UAV_2,1024,43655,43655,69155
337.143,SLAVE_TO_MASTER_RX,52,SLAVE_TO_MASTER,UAV_1,UAV_2,130,43785,43785,69285
341.751,SLAVE_TO_MASTER_RX,54,SLAVE_TO_MASTER,UAV_0,UAV_2,353,44138,44138,69638
344.292,SLAVE_TO_MASTER_RX,57,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,45162,45162,70662
344.297,SLAVE_TO_MASTER_RX,57,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,46186,46186,71686
344.302,SLAVE_TO_MASTER_RX,57,SLAVE_TO_MASTER,UAV_0,UAV_2,963,47149,47149,72649
344.436,SENSOR_TO_MASTER_RX,58,SENSOR_TO_UAV,Sensor_57,UAV_2,1024,48173,48173,73673
344.438,SENSOR_TO_MASTER_RX,58,SENSOR_TO_UAV,Sensor_57,UAV_2,1024,49197,49197,74697
344.44,SENSOR_TO_MASTER_RX,58,SENSOR_TO_UAV,Sensor_57,UAV_2,1024,50221,50221,75721
344.442,SENSOR_TO_MASTER_RX,58,SENSOR_TO_UAV,Sensor_57,UAV_2,659,50880,50880,76380
344.928,SLAVE_TO_MASTER_RX,60,SLAVE_TO_MASTER,UAV_3,UAV_2,1016,51896,51896,77396
347.146,SENSOR_TO_MASTER_RX,61,SENSOR_TO_UAV,Sensor_17,UAV_2,1024,52920,52920,78420
347.15,SENSOR_TO_MASTER_RX,61,SENSOR_TO_UAV,Sensor_17,UAV_2,1024,53944,53944,79444
347.155,SENSOR_TO_MASTER_RX,61,SENSOR_TO_UAV,Sensor_17,UAV_2,1024,54968,54968,80468
347.16,SENSOR_TO_MASTER_RX,61,SENSOR_TO_UAV,Sensor_17,UAV_2,1024,55992,55992,81492
347.165,SENSOR_TO_MASTER_RX,61,SENSOR_TO_UAV,Sensor_17,UAV_2,1017,57009,57009,82509
347.958,SLAVE_TO_MASTER_RX,62,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,58033,58033,83533
347.963,SLAVE_TO_MASTER_RX,62,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,59057,59057,84557
347.968,SLAVE_TO_MASTER_RX,62,SLAVE_TO_MASTER,UAV_0,UAV_2,1024,60081,60081,85581
347.972,SLAVE_TO_MASTER_RX,62,SLAVE_TO_MASTER,UAV_0,UAV_2,931,61012,61012,86512
